Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-02-08 00:00:00+08:00,2337.0,2378.8798828125,2313.0,2368.800048828125,2076.218994140625,3578573,0.0,0.0
2021-02-09 00:00:00+08:00,2368.800048828125,2456.429931640625,2350.0,2456.429931640625,2153.02490234375,3329655,0.0,0.0
2021-02-10 00:00:00+08:00,2485.0,2601.199951171875,2485.0,2601.0,2279.738037109375,6137057,0.0,0.0
2021-02-18 00:00:00+08:00,2587.97998046875,2627.8798828125,2465.0,2471.0,2165.795166015625,6591232,0.0,0.0
2021-02-19 00:00:00+08:00,2451.159912109375,2496.659912109375,2381.60009765625,2460.0,2156.154052734375,5938546,0.0,0.0
2021-02-22 00:00:00+08:00,2455.0,2455.0,2278.219970703125,2288.02001953125,2005.4163818359375,7893547,0.0,0.0
2021-02-23 00:00:00+08:00,2288.02001953125,2344.889892578125,2265.0,2307.0,2022.0513916015625,5745460,0.0,0.0
2021-02-24 00:00:00+08:00,2307.989990234375,2310.0,2160.5,2189.0,1918.626708984375,8211578,0.0,0.0
2021-02-25 00:00:00+08:00,2209.0,2224.5,2121.2099609375,2150.0,1884.4432373046875,5972643,0.0,0.0
2021-02-26 00:00:00+08:00,2100.0,2179.949951171875,2067.300048828125,2122.780029296875,1860.585693359375,6652506,0.0,0.0
2021-03-01 00:00:00+08:00,2160.0,2177.639892578125,2120.0,2158.0,1891.4556884765625,4491626,0.0,0.0
2021-03-02 00:00:00+08:00,2180.0,2180.0,2033.0,2058.0,1803.806884765625,7076450,0.0,0.0
2021-03-03 00:00:00+08:00,2040.0,2149.77001953125,2033.0,2140.0,1875.6787109375,5421546,0.0,0.0
2021-03-04 00:00:00+08:00,2095.0,2096.0,2010.0999755859375,2033.0,1781.894775390625,6508829,0.0,0.0
2021-03-05 00:00:00+08:00,2000.0,2095.0,1988.0,2060.110107421875,1805.65625,6377920,0.0,0.0
2021-03-08 00:00:00+08:00,2074.9599609375,2085.0,1960.0,1960.0,1717.9112548828125,6309959,0.0,0.0
2021-03-09 00:00:00+08:00,1955.0,2000.0,1900.1800537109375,1936.989990234375,1697.743408203125,8226581,0.0,0.0
2021-03-10 00:00:00+08:00,1977.0,1999.8699951171875,1967.0,1970.010009765625,1726.6849365234375,5117174,0.0,0.0
2021-03-11 00:00:00+08:00,1976.989990234375,2079.989990234375,1961.47998046875,2048.0,1795.0418701171875,5676897,0.0,0.0
2021-03-12 00:00:00+08:00,2070.0,2077.0,2002.010009765625,2026.0,1775.7591552734375,4032251,0.0,0.0
2021-03-15 00:00:00+08:00,2050.0,2069.800048828125,1951.1500244140625,1975.449951171875,1731.452880859375,6248487,0.0,0.0
2021-03-16 00:00:00+08:00,1972.800048828125,2019.989990234375,1965.0,2010.5,1762.173583984375,3464850,0.0,0.0
2021-03-17 00:00:00+08:00,2000.0,2050.0,1976.010009765625,2030.3599853515625,1779.580810546875,3137491,0.0,0.0
2021-03-18 00:00:00+08:00,2043.6099853515625,2086.360107421875,2039.0,2069.699951171875,1814.0615234375,3386488,0.0,0.0
2021-03-19 00:00:00+08:00,2035.0,2036.050048828125,1992.22998046875,2010.0,1761.735595703125,3578077,0.0,0.0
2021-03-22 00:00:00+08:00,2000.0999755859375,2026.0899658203125,1955.550048828125,1989.989990234375,1744.197021484375,3691407,0.0,0.0
2021-03-23 00:00:00+08:00,1998.8800048828125,2008.800048828125,1970.0,1996.0,1749.46484375,2744619,0.0,0.0
2021-03-24 00:00:00+08:00,1981.0,2013.0,1981.0,1989.0,1743.3292236328125,2935739,0.0,0.0
